parameter	parm_cd	datum	unit	above_datum	below_land_surface
ADVM S/N ratio|number	99237	null	null	null	null
ADVM std dev|number	99239	null	null	null	null
ADVM std error, vel|cm/s	99242	null	null	null	null
ADVM std error, vel|ft/s	99240	null	null	null	null
ANC, wu, estim by regression|mg/l	99400	null	null	null	null
ANC, wu,fxdEP,CaCO3,fld|mg/l	00410	null	null	null	null
Absolute pressure|ftH2O	72165	null	null	null	null
Absolute pressure|mmHg	72241	null	null	null	null
Absolute pressure|psi	72203	null	null	null	null
Absorbance, 254 nm, intens|AU/cm	50624	null	null	null	null
Absorbance, 254 nm|AU	32327	null	null	null	null
Absorbance, 350 nm|AU	32328	null	null	null	null
Acoustic noise level|count	72296	null	null	null	null
Air gap|ft	72320	null	null	null	null
Air pressure|ftH2O	72164	null	null	null	null
Air pressure|inH2O	62605	null	null	null	null
Air pressure|inHg	62603	null	null	null	null
Air pressure|kPa	62607	null	null	null	null
Air pressure|mbar	75969	null	null	null	null
Air pressure|mmHg	00025	null	null	null	null
Alachlor, wu|ug/l	77825	null	null	null	null
Albedo|None	72207	null	null	null	null
Altitude above MSL|ft	00042	null	null	null	null
Altitude, LSD|ft	72000	null	null	null	null
Aluminum, wf|ug/l	01106	null	null	null	null
Aluminum, wu,recov|ug/l	01105	null	null	null	null
Ammonia, dissolved as N|lbs/day	62961	null	null	null	null
Ammonia, dissolved as N|tons/day	91014	null	null	null	null
Ammonia, wf as N|mg/l	00608	null	null	null	null
Ammonia, wf, estim regress|mg/l	99412	null	null	null	null
Ammonia, wu as NH4|mg/l	71845	null	null	null	null
Ammonia, wu as N|mg/l	00610	null	null	null	null
Ammonia, wu, field as N|mg/l	99123	null	null	null	null
Ammonia, wu|lbs/day	91048	null	null	null	null
Area, cross_section|ft^2	82632	null	null	null	null
Area, cross_section|m^2	72191	null	null	null	null
Atmos press, corr|inH2O	62604	null	null	null	null
Atmos press, corr|inHg	62602	null	null	null	null
Atmos press, corr|kPa	62606	null	null	null	null
Atrazine, dissolved|g/d	50007	null	null	null	null
Atrazine, wf, estim regress|ug/l	99408	null	null	null	null
Atrazine, wf|ug/l	39632	null	null	null	null
Attenuation corrected backscatter|count	72297	null	null	null	null
Attenuation turbidty|_ATU	63678	null	null	null	null
Autosampler count|Count	99234	null	null	null	null
Available memory|Kbytes	99257	null	null	null	null
BLUE_GREEN ALGAE|Cell/ml	98232	null	null	null	null
BOD, 5 day, 20 deg|mg/l	00310	null	null	null	null
BOD, 5day,20degC, wu|tons/day	91016	null	null	null	null
BP, uncorrected|psi	72204	null	null	null	null
Backscatter turbidty|_BU	63677	null	null	null	null
Bed sedmnt <4mm, fd|%	69000	null	null	null	null
Bedload sediment|tons/day	80225	null	null	null	null
Bedload transport rate, regression|Mg/d	72298	null	null	null	null
Bedload transport rate, regression|tons/day	72299	null	null	null	null
Bicarbonate, diss|tons/day	81205	null	null	null	null
Bicarbonate, wu,fx,f|mg/l	00440	null	null	null	null
Bighead carp, tagged|count/hr	31720	null	null	null	null
Bighead carp, unique|count/hr	31725	null	null	null	null
Blocked exposure tim|s	72155	null	null	null	null
