parm_cd	stat_cd	data_type
62610	00001	tsDailyValueStatisticalTransform
62610	00002	tsDailyValueStatisticalTransform
62610	00003	tsDailyValueStatisticalTransform
62610	00006	tsDailyValueStatisticalTransform
62610	00007	tsDailyValueStatisticalTransform
62610	00008	tsDailyValueStatisticalTransform
62610	00009	tsDailyValueStatisticalTransform
62610	00010	tsDailyValueStatisticalTransform
62610	00012	tsDailyValueStatisticalTransform
62610	00013	tsDailyValueStatisticalTransform
62610	00021	tsDailyValueStatisticalTransform
62610	00022	tsDailyValueStatisticalTransform
62610	00023	tsDailyValueStatisticalTransform
62610	00024	tsDailyValueStatisticalTransform
62611	00001	tsDailyValueStatisticalTransform
62611	00002	tsDailyValueStatisticalTransform
62611	00003	tsDailyValueStatisticalTransform
62611	00006	tsDailyValueStatisticalTransform
62611	00007	tsDailyValueStatisticalTransform
62611	00008	tsDailyValueStatisticalTransform
62611	00009	tsDailyValueStatisticalTransform
62611	00010	tsDailyValueStatisticalTransform
62611	00012	tsDailyValueStatisticalTransform
62611	00013	tsDailyValueStatisticalTransform
62611	00021	tsDailyValueStatisticalTransform
62611	00022	tsDailyValueStatisticalTransform
62611	00023	tsDailyValueStatisticalTransform
62611	00024	tsDailyValueStatisticalTransform
72019	00001	tsDailyValueStatisticalTransform
72019	00002	tsDailyValueStatisticalTransform
72019	00003	tsDailyValueStatisticalTransform
72019	00006	tsDailyValueStatisticalTransform
72019	00007	tsDailyValueStatisticalTransform
72019	00008	tsDailyValueStatisticalTransform
72019	00009	tsDailyValueStatisticalTransform
72019	00010	tsDailyValueStatisticalTransform
72019	00012	tsDailyValueStatisticalTransform
72019	00013	tsDailyValueStatisticalTransform
72019	00021	tsDailyValueStatisticalTransform
72019	00022	tsDailyValueStatisticalTransform
72019	00023	tsDailyValueStatisticalTransform
72019	00024	tsDailyValueStatisticalTransform
72020	00001	tsDailyValueStatisticalTransform
72020	00002	tsDailyValueStatisticalTransform
72020	00003	tsDailyValueStatisticalTransform
72020	00006	tsDailyValueStatisticalTransform
72020	00007	tsDailyValueStatisticalTransform
72020	00008	tsDailyValueStatisticalTransform
72020	00009	tsDailyValueStatisticalTransform
72020	00010	tsDailyValueStatisticalTransform
72020	00012	tsDailyValueStatisticalTransform
72020	00013	tsDailyValueStatisticalTransform
72020	00021	tsDailyValueStatisticalTransform
72020	00022	tsDailyValueStatisticalTransform
72020	00023	tsDailyValueStatisticalTransform
72020	00024	tsDailyValueStatisticalTransform
72150	00001	tsDailyValueStatisticalTransform
72150	00002	tsDailyValueStatisticalTransform
72150	00003	tsDailyValueStatisticalTransform
72150	00006	tsDailyValueStatisticalTransform
72150	00007	tsDailyValueStatisticalTransform
72150	00008	tsDailyValueStatisticalTransform
72150	00009	tsDailyValueStatisticalTransform
72150	00010	tsDailyValueStatisticalTransform
72150	00012	tsDailyValueStatisticalTransform
72150	00013	tsDailyValueStatisticalTransform
72150	00021	tsDailyValueStatisticalTransform
72150	00022	tsDailyValueStatisticalTransform
72150	00023	tsDailyValueStatisticalTransform
72150	00024	tsDailyValueStatisticalTransform
72226	00001	tsDailyValueStatisticalTransform
72226	00002	tsDailyValueStatisticalTransform
72226	00003	tsDailyValueStatisticalTransform
72226	00006	tsDailyValueStatisticalTransform
72226	00007	tsDailyValueStatisticalTransform
72226	00008	tsDailyValueStatisticalTransform
72226	00009	tsDailyValueStatisticalTransform
72226	00010	tsDailyValueStatisticalTransform
72226	00012	tsDailyValueStatisticalTransform
72226	00013	tsDailyValueStatisticalTransform
72226	00021	tsDailyValueStatisticalTransform
72226	00022	tsDailyValueStatisticalTransform
72226	00023	tsDailyValueStatisticalTransform
72226	00024	tsDailyValueStatisticalTransform
72227	00001	tsDailyValueStatisticalTransform
72227	00002	tsDailyValueStatisticalTransform
72227	00003	tsDailyValueStatisticalTransform
72227	00006	tsDailyValueStatisticalTransform
72227	00007	tsDailyValueStatisticalTransform
72227	00008	tsDailyValueStatisticalTransform
72227	00009	tsDailyValueStatisticalTransform
72227	00010	tsDailyValueStatisticalTransform
72227	00012	tsDailyValueStatisticalTransform
72227	00013	tsDailyValueStatisticalTransform
72227	00021	tsDailyValueStatisticalTransform
72227	00022	tsDailyValueStatisticalTransform
72227	00023	tsDailyValueStatisticalTransform
72227	00024	tsDailyValueStatisticalTransform
72228	00001	tsDailyValueStatisticalTransform
72228	00002	tsDailyValueStatisticalTransform
72228	00003	tsDailyValueStatisticalTransform
72228	00006	tsDailyValueStatisticalTransform
72228	00007	tsDailyValueStatisticalTransform
72228	00008	tsDailyValueStatisticalTransform
72228	00009	tsDailyValueStatisticalTransform
72228	00010	tsDailyValueStatisticalTransform
72228	00012	tsDailyValueStatisticalTransform
72228	00013	tsDailyValueStatisticalTransform
72228	00021	tsDailyValueStatisticalTransform
72228	00022	tsDailyValueStatisticalTransform
72228	00023	tsDailyValueStatisticalTransform
72228	00024	tsDailyValueStatisticalTransform
72229	00001	tsDailyValueStatisticalTransform
72229	00002	tsDailyValueStatisticalTransform
72229	00003	tsDailyValueStatisticalTransform
72229	00006	tsDailyValueStatisticalTransform
72229	00007	tsDailyValueStatisticalTransform
72229	00008	tsDailyValueStatisticalTransform
72229	00009	tsDailyValueStatisticalTransform
72229	00010	tsDailyValueStatisticalTransform
72229	00012	tsDailyValueStatisticalTransform
72229	00013	tsDailyValueStatisticalTransform
72229	00021	tsDailyValueStatisticalTransform
72229	00022	tsDailyValueStatisticalTransform
72229	00023	tsDailyValueStatisticalTransform
72229	00024	tsDailyValueStatisticalTransform
72230	00001	tsDailyValueStatisticalTransform
72230	00002	tsDailyValueStatisticalTransform
72230	00003	tsDailyValueStatisticalTransform
72230	00006	tsDailyValueStatisticalTransform
72230	00007	tsDailyValueStatisticalTransform
72230	00008	tsDailyValueStatisticalTransform
72230	00009	tsDailyValueStatisticalTransform
72230	00010	tsDailyValueStatisticalTransform
72230	00012	tsDailyValueStatisticalTransform
72230	00013	tsDailyValueStatisticalTransform
72230	00021	tsDailyValueStatisticalTransform
72230	00022	tsDailyValueStatisticalTransform
72230	00023	tsDailyValueStatisticalTransform
72230	00024	tsDailyValueStatisticalTransform
72231	00001	tsDailyValueStatisticalTransform
72231	00002	tsDailyValueStatisticalTransform
72231	00003	tsDailyValueStatisticalTransform
72231	00006	tsDailyValueStatisticalTransform
72231	00007	tsDailyValueStatisticalTransform
72231	00008	tsDailyValueStatisticalTransform
72231	00009	tsDailyValueStatisticalTransform
72231	00010	tsDailyValueStatisticalTransform
72231	00012	tsDailyValueStatisticalTransform
72231	00013	tsDailyValueStatisticalTransform
72231	00021	tsDailyValueStatisticalTransform
72231	00022	tsDailyValueStatisticalTransform
72231	00023	tsDailyValueStatisticalTransform
72231	00024	tsDailyValueStatisticalTransform
72232	00001	tsDailyValueStatisticalTransform
72232	00002	tsDailyValueStatisticalTransform
72232	00003	tsDailyValueStatisticalTransform
72232	00006	tsDailyValueStatisticalTransform
72232	00007	tsDailyValueStatisticalTransform
72232	00008	tsDailyValueStatisticalTransform
72232	00009	tsDailyValueStatisticalTransform
72232	00010	tsDailyValueStatisticalTransform
72232	00012	tsDailyValueStatisticalTransform
72232	00013	tsDailyValueStatisticalTransform
72232	00021	tsDailyValueStatisticalTransform
72232	00022	tsDailyValueStatisticalTransform
72232	00023	tsDailyValueStatisticalTransform
72232	00024	tsDailyValueStatisticalTransform
61055	null	discreteGroundWaterTransform
